Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:23:40-14,-0.26342773,0.5751953,-0.6333008,-0.25683594,0.4519043,-0.60009766,16655,73,100104, Participant, EMT, None,92
10:23:40-16,-0.24243164,0.7080078,-0.6452637,-0.25683594,0.4519043,-0.60009766,16655,73,100104, Participant, EMT, None,92
10:23:40-19,-0.1953125,0.8310547,-0.6501465,-0.24243164,0.7080078,-0.6452637,16655,73,100104, Participant, EMT, None,92
10:23:40-47,-0.16601563,0.8769531,-0.65185547,-0.1953125,0.8310547,-0.6501465,16655,73,100104, Participant, EMT, None,92
10:23:40-49,-0.17041016,0.8334961,-0.6352539,-0.1953125,0.8310547,-0.6501465,16655,73,100104, Participant, EMT, None,92
10:23:40-112,-0.18310547,0.81689453,-0.62353516,-0.17041016,0.8334961,-0.6352539,16655,73,100104, Participant, EMT, None,92
10:23:40-115,-0.19946289,0.79785156,-0.6062012,-0.18310547,0.81689453,-0.62353516,16655,73,100104, Participant, EMT, None,92
10:23:40-117,-0.22167969,0.78222656,-0.58813477,-0.19946289,0.79785156,-0.6062012,16655,73,100104, Participant, EMT, None,92
10:23:40-118,-0.2998047,0.7126465,-0.55126953,-0.22167969,0.78222656,-0.58813477,16655,73,100104, Participant, EMT, None,92
10:23:40-122,-0.32617188,0.6647949,-0.5527344,-0.2998047,0.7126465,-0.55126953,16655,73,100104, Participant, EMT, None,92
10:23:40-170,-0.31982422,0.6665039,-0.5473633,-0.32617188,0.6647949,-0.5527344,16655,73,100104, Participant, EMT, None,92
10:23:40-173,-0.3227539,0.65625,-0.5354004,-0.31982422,0.6665039,-0.5473633,16655,73,100104, Participant, EMT, None,92
10:23:40-175,-0.34643555,0.49902344,-0.64404297,-0.3227539,0.65625,-0.5354004,16655,73,100104, Participant, EMT, None,92
10:23:40-205,-0.3395996,0.5266113,-0.6628418,-0.34643555,0.49902344,-0.64404297,16655,73,100104, Participant, EMT, None,92
10:23:40-208,-0.34204102,0.7546387,-0.5722656,-0.3395996,0.5266113,-0.6628418,16655,73,100104, Participant, EMT, None,92
10:23:40-279,-0.35327148,0.66308594,-0.5629883,-0.34204102,0.7546387,-0.5722656,16655,73,100104, Participant, EMT, None,92
10:23:40-282,-0.33862305,0.6328125,-0.59472656,-0.35327148,0.66308594,-0.5629883,16655,73,100104, Participant, EMT, None,92
10:23:40-347,-0.37280273,0.7487793,-0.6628418,-0.33862305,0.6328125,-0.59472656,16655,73,100104, Participant, EMT, None,92
10:23:40-350,-0.38134766,0.70654297,-0.76538086,-0.37280273,0.7487793,-0.6628418,16655,73,100104, Participant, EMT, None,92
10:23:40-414,-0.36376953,0.6479492,-0.8071289,-0.38134766,0.70654297,-0.76538086,16655,73,100104, Participant, EMT, None,92
10:23:40-416,-0.37036133,0.73217773,-0.7766113,-0.36376953,0.6479492,-0.8071289,16655,73,100104, Participant, EMT, None,92
10:23:40-424,-0.36816406,0.74121094,-0.6906738,-0.37036133,0.73217773,-0.7766113,16655,73,100104, Participant, EMT, None,92
10:23:40-427,-0.36572266,0.7089844,-0.72875977,-0.36816406,0.74121094,-0.6906738,16655,73,100104, Participant, EMT, None,92
10:23:40-429,-0.36083984,0.78100586,-0.8100586,-0.36572266,0.7089844,-0.72875977,16655,73,100104, Participant, EMT, None,92
10:23:40-440,-0.33666992,0.8366699,-0.80981445,-0.36083984,0.78100586,-0.8100586,16655,73,100104, Participant, EMT, None,92
10:23:40-443,-0.3149414,0.8149414,-0.7854004,-0.33666992,0.8366699,-0.80981445,16655,73,100104, Participant, EMT, None,92
10:23:40-445,-0.28076172,0.80859375,-0.7246094,-0.3149414,0.8149414,-0.7854004,16655,73,100104, Participant, EMT, None,92
10:23:40-447,-0.2319336,0.8063965,-0.6569824,-0.28076172,0.80859375,-0.7246094,16655,73,100104, Participant, EMT, None,92
10:23:40-450,-0.2163086,0.7902832,-0.6542969,-0.2319336,0.8063965,-0.6569824,16655,73,100104, Participant, EMT, None,92
10:23:40-453,-0.19580078,0.7470703,-0.6772461,-0.2163086,0.7902832,-0.6542969,16655,73,100104, Participant, EMT, None,92
10:23:40-478,-0.16333008,0.70654297,-0.7026367,-0.19580078,0.7470703,-0.6772461,16655,73,100104, Participant, EMT, None,92
10:23:40-512,-0.16064453,0.78393555,-0.701416,-0.16333008,0.70654297,-0.7026367,16655,73,100104, Participant, EMT, None,92
10:23:40-513,-0.16992188,0.90234375,-0.78930664,-0.16064453,0.78393555,-0.701416,16655,73,100104, Participant, EMT, None,92
10:23:40-519,-0.10205078,0.9067383,-0.84594727,-0.16992188,0.90234375,-0.78930664,16655,73,100104, Participant, EMT, None,92
10:23:40-545,-0.07763672,0.9147949,-0.8371582,-0.10205078,0.9067383,-0.84594727,16655,73,100104, Participant, EMT, None,92
10:23:40-579,-0.06958008,0.96362305,-0.8137207,-0.07763672,0.9147949,-0.8371582,16655,73,100104, Participant, EMT, None,92
10:23:40-582,-0.032958984,0.92871094,-0.8613281,-0.06958008,0.96362305,-0.8137207,16655,73,100104, Participant, EMT, None,92
10:23:40-588,-0.014648438,0.8774414,-0.90844727,-0.032958984,0.92871094,-0.8613281,16655,73,100104, Participant, EMT, None,92
