Shoulder Radio, Flashlight, Whistle, High Wave, Examine Eyes, Take BP, Walking, Location Sent, Requesting Backup, Vitals Sent, Shoulder Radio Start, Shoulder Radio End, Shoulder Radio Delta, Flashlight Start, Flashlight End, Flashlight Delta, Whistle Start, Whistle End, Whistle Delta, High Wave Start, High Wave End, High Wave Delta, Examine Eyes Start, Examine Eyes End, Examine Eyes Delta, Take BP Start, Take BP End, Take BP Delta, Distance Magnitude, App Usage Count, User, Anomaly
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37402751,   37412497, 9.746, 37424317,   37439705, 15.388, 37438697,   37445353, 6.656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84073538488, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37457685,   37464859, 7.174, 37470525,   37480264, 9.739, 37480290,   37485414, 5.124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24168776838, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37498778,   37506447, 7.669, 37507489,  37512226, 4.737, 37513137,   37517234, 4.097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65483060001, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37524954,   37534174, 9.22, 37535222,   37548058, 12.836, 37548567,   37552664, 4.097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68560080654, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37560900,   37569099, 8.199, 37570127,   37578340, 8.213, 37578863,   37584489, 5.626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83484599766, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37598880,   37610688, 11.808, 37611716,   37617865, 6.149, 37617874,   37621976, 4.102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.201925694727, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37627637,   37634292, 6.655, 37636374,   37643541, 7.167, 37643560,   37648670, 5.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.952602331484, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37654334,   37662019, 7.685, 37662553,   37670240, 7.687, 37669229,   37673314, 4.085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39450991727, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37682570,  37689686, 7.116, 37690790,   37696423, 5.633, 37695410,   37700020, 4.61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11070982466, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37705679,   37711312, 5.633, 37712353,   37719012, 6.659, 37717996,   37723130, 5.134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90997519933, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37738532,   37747760, 9.228, 37756515,   37759568, 3.053, 37770257,   37777547, 7.29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26167460354, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37789369,   37798601, 9.232, 37798608,   37803213, 4.605, 37804260,   37809895, 5.635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.303559353906, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37814522,   37820664, 6.142, 37820694,   37827349, 6.655, 37827361,   37831452, 4.091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44256068112, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37842247,   37848388, 6.141, 37850253,   37854563, 4.31, 37855613,   37859693, 4.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10525116303, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37873582,   37884340, 10.758, 37884351,   37889477, 5.126, 37889483,   37892570, 3.087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67936590957, 0,     100101, Normal
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 37898722,   37907438, 8.716, 37908001,   37913600, 5.599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71125374637, 1,     100101, Normal
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 37932093,   37940293, 8.2, 37940312,   37945439, 5.127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00442120269655, 0,     100101, Normal
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 37958289,   37966512, 8.223, 37968315,   37970592, 2.277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01697449186, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37983443,   37989581, 6.138, 37990631,   37999346, 8.715, 38002435,   38007553, 5.118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08870641685, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39134673,   39140425, 5.752, 39147348,   39151425, 4.077, 39151428,   39157190, 5.762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.209728843903, 1,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39164523,   39169753, 5.23, 39171849,   39175520, 3.671, 39174484,   39178649, 4.165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91691125947, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39185478,   39189644, 4.166, 39191779,   39196446, 4.667, 39196470,   39204879, 8.409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53600918566, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39213757,   39218446, 4.689, 39221604,   39226336, 4.732, 39227377,   39232592, 5.215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17734512798, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39241524,   39246750, 5.226, 39248327,   39254594, 6.267, 39254597,   39260352, 5.755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29814936253, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39265608,   39273449, 7.841, 39276636,   39281303, 4.667, 39282362,   39285487, 3.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51310255377, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39291837,   39300678, 8.841, 39302265,   39310637, 8.372, 39311175,   39316896, 5.721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.748068366172, 2,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39320583,   39325293, 4.71, 39326727,   39332100, 5.373, 39332132,   39335240, 3.108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.410884102999, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39347310,   39353579, 6.269, 39355146,   39361953, 6.807, 39363005,   39369282, 6.277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31135676314, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39377149,   39382376, 5.227, 39387114,   39396518, 9.404, 39400214,   39403849, 3.635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.727360208971, 3,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39410688,   39416946, 6.258, 39420622,   39429571, 8.949, 39428483,   39432700, 4.217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9223952264, 2,     100101, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68152435762, 4,     100101, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08962956222, 0,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39496046,   39502310, 6.264, 39505482,   39510757, 5.275, 39510759,   39514868, 4.109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7990032204, 4,     100101, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.354354317064, 4,     100101, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.213144237185, 4,     100101, Normal
1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 39599749,   39604425, 4.676, 39611268,   39612823, 1.555, 0, 0, 0, 39604449,   39609687, 5.238, 39612314,   39614907, 2.593, 39687369,   39690329, 2.96, 0.821087169393, 4,     100101, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37404264,   37412436, 8.172, 37420640,   37429337, 8.697, 37437536,   37445709, 8.173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11721302187, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37458523,   37465680, 7.157, 37468772,   37478489, 9.717, 37479519,   37484125, 4.606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13454684551, 4,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37498485,   37506638, 8.153, 37506150,   37511263, 5.113, 37513820,   37518474, 4.654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39996569321, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37525594,   37533780, 8.186, 37535342,   37540929, 5.587, 37548139,   37552220, 4.081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33674232133, 4,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37560427,   37567057, 6.63, 37566061,   37574737, 8.676, 37578334,   37582421, 4.087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2374598296, 4,     100102, Normal
