Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:41:55-4,-0.17553711,0.8405762,-0.31298828,-0.15917969,0.86328125,-0.3046875,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-13,-0.18945313,0.8352051,-0.30932617,-0.17553711,0.8405762,-0.31298828,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-22,-0.21923828,0.8300781,-0.3017578,-0.18945313,0.8352051,-0.30932617,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-43,-0.2277832,0.8496094,-0.30639648,-0.21923828,0.8300781,-0.3017578,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-51,-0.22680664,0.87719727,-0.31396484,-0.2277832,0.8496094,-0.30639648,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-77,-0.22070313,0.91918945,-0.31396484,-0.22680664,0.87719727,-0.31396484,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-85,-0.23364258,0.8811035,-0.3112793,-0.22070313,0.91918945,-0.31396484,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-111,-0.24658203,0.8874512,-0.31298828,-0.23364258,0.8811035,-0.3112793,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-120,-0.2446289,0.9682617,-0.3088379,-0.24658203,0.8874512,-0.31298828,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-130,-0.2109375,1.0581055,-0.3149414,-0.2446289,0.9682617,-0.3088379,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-151,-0.18383789,1.0891113,-0.32617188,-0.2109375,1.0581055,-0.3149414,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-193,-0.13574219,1.0998535,-0.33325195,-0.18383789,1.0891113,-0.32617188,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-202,-0.12182617,1.0883789,-0.31079102,-0.13574219,1.0998535,-0.33325195,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-208,-0.15039063,1.0900879,-0.2944336,-0.13574219,1.0998535,-0.33325195,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-228,-0.22607422,1.0966797,-0.26416016,-0.15039063,1.0900879,-0.2944336,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-236,-0.23583984,1.206543,-0.2524414,-0.22607422,1.0966797,-0.26416016,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-242,-0.17285156,1.2416992,-0.2553711,-0.22607422,1.0966797,-0.26416016,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-261,-0.001464844,1.2392578,-0.24243164,-0.17285156,1.2416992,-0.2553711,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-301,0.06713867,1.2028809,-0.25048828,-0.001464844,1.2392578,-0.24243164,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-307,0.06201172,1.170166,-0.25805664,-0.001464844,1.2392578,-0.24243164,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-318,0.027832031,0.9699707,-0.25756836,0.06201172,1.170166,-0.25805664,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-337,-0.017578125,0.7541504,-0.2602539,0.027832031,0.9699707,-0.25756836,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-343,-0.036132813,0.71240234,-0.25561523,0.027832031,0.9699707,-0.25756836,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-354,-0.08520508,0.77612305,-0.23583984,-0.036132813,0.71240234,-0.25561523,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-371,-0.1171875,0.7734375,-0.22460938,-0.08520508,0.77612305,-0.23583984,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-391,-0.1352539,0.796875,-0.2331543,-0.1171875,0.7734375,-0.22460938,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-409,-0.13134766,0.9016113,-0.24975586,-0.1352539,0.796875,-0.2331543,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-417,-0.07495117,0.9836426,-0.26635742,-0.13134766,0.9016113,-0.24975586,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-443,-0.037597656,1.019043,-0.26708984,-0.07495117,0.9836426,-0.26635742,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-451,0.020996094,1.0849609,-0.27294922,-0.037597656,1.019043,-0.26708984,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-463,0.0390625,1.065918,-0.29589844,0.020996094,1.0849609,-0.27294922,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-490,0.022460938,1.0241699,-0.28833008,0.0390625,1.065918,-0.29589844,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-500,-0.038330078,0.8786621,-0.2944336,0.022460938,1.0241699,-0.28833008,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-530,-0.07714844,0.8547363,-0.33984375,-0.038330078,0.8786621,-0.2944336,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-546,-0.075683594,0.85913086,-0.3466797,-0.07714844,0.8547363,-0.33984375,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-554,-0.052734375,0.8466797,-0.3400879,-0.075683594,0.85913086,-0.3466797,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-578,-0.061523438,0.83374023,-0.37280273,-0.052734375,0.8466797,-0.3400879,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-587,-0.076171875,0.84350586,-0.39331055,-0.061523438,0.83374023,-0.37280273,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-610,-0.09667969,0.8293457,-0.4206543,-0.076171875,0.84350586,-0.39331055,25089,77,100107, Researcher, EMT,Transition,11
10:41:55-618,-0.095947266,0.82128906,-0.4152832,-0.09667969,0.8293457,-0.4206543,25089,77,100107, Researcher, EMT,Transition,11
