Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
11:07:40-4,0.40039063,-0.31860352,-0.05493164,0.40454102,-0.31860352,-0.044677734,34008,84,100102, Participant, EMT,Transition,67
11:07:40-11,0.40551758,-0.30859375,-0.084228516,0.40039063,-0.31860352,-0.05493164,34008,84,100102, Participant, EMT,Transition,67
11:07:40-21,0.43823242,-0.29589844,-0.09765625,0.40551758,-0.30859375,-0.084228516,34008,84,100102, Participant, EMT,Transition,67
11:07:40-30,0.47216797,-0.28979492,-0.08642578,0.43823242,-0.29589844,-0.09765625,34008,84,100102, Participant, EMT,Transition,67
11:07:40-40,0.55810547,-0.31054688,-0.067871094,0.47216797,-0.28979492,-0.08642578,34008,84,100102, Participant, EMT,Transition,67
11:07:40-47,0.6298828,-0.34472656,-0.048828125,0.55810547,-0.31054688,-0.067871094,34008,84,100102, Participant, EMT,Transition,67
11:07:40-61,0.670166,-0.3647461,-0.037841797,0.6298828,-0.34472656,-0.048828125,34008,84,100102, Participant, EMT,Transition,67
11:07:40-76,0.7734375,-0.41748047,-0.022949219,0.670166,-0.3647461,-0.037841797,34008,84,100102, Participant, EMT,Transition,67
11:07:40-78,0.8557129,-0.4658203,-0.05078125,0.7734375,-0.41748047,-0.022949219,34008,84,100102, Participant, EMT,Transition,67
11:07:40-80,0.8808594,-0.47314453,-0.08178711,0.8557129,-0.4658203,-0.05078125,34008,84,100102, Participant, EMT,Transition,67
11:07:40-82,0.87890625,-0.49731445,-0.1472168,0.8808594,-0.47314453,-0.08178711,34008,84,100102, Participant, EMT,Transition,67
11:07:40-85,0.8557129,-0.48950195,-0.20776367,0.87890625,-0.49731445,-0.1472168,34008,84,100102, Participant, EMT,Transition,67
11:07:40-88,0.86450195,-0.47094727,-0.2290039,0.87890625,-0.49731445,-0.1472168,34008,84,100102, Participant, EMT,Transition,67
11:07:40-90,0.9602051,-0.43652344,-0.27197266,0.86450195,-0.47094727,-0.2290039,34008,84,100102, Participant, EMT,Transition,67
11:07:40-93,1.1542969,-0.45336914,-0.25610352,0.9602051,-0.43652344,-0.27197266,34008,84,100102, Participant, EMT,Transition,67
11:07:40-97,1.286377,-0.4897461,-0.22973633,0.9602051,-0.43652344,-0.27197266,34008,84,100102, Participant, EMT,Transition,67
11:07:40-101,1.5239258,-0.5498047,-0.10913086,1.286377,-0.4897461,-0.22973633,34008,84,100102, Participant, EMT,Transition,67
11:07:40-104,1.720459,-0.6245117,-0.02319336,1.5239258,-0.5498047,-0.10913086,34008,84,100102, Participant, EMT,Transition,67
11:07:40-107,1.769043,-0.69311523,-0.013183594,1.5239258,-0.5498047,-0.10913086,34008,84,100102, Participant, EMT,Transition,67
11:07:40-110,1.7685547,-0.88183594,-0.095214844,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-112,1.5742188,-1.0637207,-0.2277832,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-116,1.4382324,-1.1206055,-0.2709961,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-119,1.2009277,-1.0202637,-0.29516602,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-122,1.0478516,-0.6911621,-0.27612305,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-126,1.0063477,-0.53686523,-0.2800293,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-130,0.98779297,-0.3881836,-0.31982422,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-133,0.9807129,-0.39233398,-0.33422852,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-135,0.96850586,-0.40234375,-0.33398438,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-137,0.9379883,-0.44970703,-0.3154297,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-139,0.89038086,-0.5107422,-0.3095703,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-140,0.85498047,-0.52905273,-0.29174805,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-142,0.7531738,-0.55200195,-0.21899414,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-144,0.70654297,-0.57470703,-0.18432617,1.769043,-0.69311523,-0.013183594,34008,84,100102, Participant, EMT,Transition,67
11:07:40-146,0.70996094,-0.5905762,-0.19116211,0.70654297,-0.57470703,-0.18432617,34008,84,100102, Participant, EMT,Transition,67
11:07:40-583,0.7644043,-0.6437988,-0.23291016,0.70996094,-0.5905762,-0.19116211,34008,84,100102, Participant, EMT,Transition,67
11:07:40-588,0.8688965,-0.7397461,-0.25390625,0.7644043,-0.6437988,-0.23291016,34008,84,100102, Participant, EMT,Transition,67
11:07:40-595,0.94506836,-0.79003906,-0.23754883,0.8688965,-0.7397461,-0.25390625,34008,84,100102, Participant, EMT,Transition,67
11:07:40-606,1.1608887,-0.8796387,-0.24365234,0.94506836,-0.79003906,-0.23754883,34008,84,100102, Participant, EMT,Transition,67
11:07:40-612,1.2541504,-0.9309082,-0.1940918,1.1608887,-0.8796387,-0.24365234,34008,84,100102, Participant, EMT,Transition,67
11:07:40-616,1.2617188,-0.93603516,-0.12207031,1.1608887,-0.8796387,-0.24365234,34008,84,100102, Participant, EMT,Transition,67
11:07:40-622,1.3581543,-0.9169922,-0.087402344,1.2617188,-0.93603516,-0.12207031,34008,84,100102, Participant, EMT,Transition,67
11:07:40-626,1.4389648,-0.91381836,-0.10522461,1.3581543,-0.9169922,-0.087402344,34008,84,100102, Participant, EMT,Transition,67
11:07:40-633,1.4243164,-0.9050293,-0.111816406,1.3581543,-0.9169922,-0.087402344,34008,84,100102, Participant, EMT,Transition,67
11:07:40-642,1.3034668,-0.8527832,-0.13110352,1.4243164,-0.9050293,-0.111816406,34008,84,100102, Participant, EMT,Transition,67
11:07:40-646,1.1447754,-0.77563477,-0.15234375,1.3034668,-0.8527832,-0.13110352,34008,84,100102, Participant, EMT,Transition,67
11:07:40-649,1.0922852,-0.70751953,-0.18847656,1.3034668,-0.8527832,-0.13110352,34008,84,100102, Participant, EMT,Transition,67
11:07:40-653,1.0168457,-0.5666504,-0.20288086,1.0922852,-0.70751953,-0.18847656,34008,84,100102, Participant, EMT,Transition,67
11:07:40-655,0.98950195,-0.4819336,-0.16748047,1.0168457,-0.5666504,-0.20288086,34008,84,100102, Participant, EMT,Transition,67
11:07:40-661,0.9953613,-0.4519043,-0.13696289,1.0168457,-0.5666504,-0.20288086,34008,84,100102, Participant, EMT,Transition,67
11:07:40-666,1.0400391,-0.4296875,-0.080566406,0.9953613,-0.4519043,-0.13696289,34008,84,100102, Participant, EMT,Transition,67
11:07:40-669,1.1242676,-0.45141602,-0.03491211,1.0400391,-0.4296875,-0.080566406,34008,84,100102, Participant, EMT,Transition,67
11:07:40-678,1.1616211,-0.47070313,0.006835938,1.1242676,-0.45141602,-0.03491211,34008,84,100102, Participant, EMT,Transition,67
11:07:40-682,1.2119141,-0.5214844,0.061523438,1.1616211,-0.47070313,0.006835938,34008,84,100102, Participant, EMT,Transition,67
11:07:40-687,1.2404785,-0.5703125,0.099121094,1.2119141,-0.5214844,0.061523438,34008,84,100102, Participant, EMT,Transition,67
11:07:40-694,1.2175293,-0.6081543,0.12036133,1.2404785,-0.5703125,0.099121094,34008,84,100102, Participant, EMT,Transition,67
11:07:40-696,1.1672363,-0.71240234,0.13085938,1.2175293,-0.6081543,0.12036133,34008,84,100102, Participant, EMT,Transition,67
11:07:40-699,1.1025391,-0.76049805,0.14038086,1.1672363,-0.71240234,0.13085938,34008,84,100102, Participant, EMT,Transition,67
11:07:40-701,1.0856934,-0.7463379,0.115722656,1.1025391,-0.76049805,0.14038086,34008,84,100102, Participant, EMT,Transition,67
11:07:40-703,1.0949707,-0.67944336,0.007324219,1.1025391,-0.76049805,0.14038086,34008,84,100102, Participant, EMT,Transition,67
