Shoulder Radio,Shoulder Radio Start,Shoulder Radio End,Shoulder Radio Delta,Flashlight,Flashlight Start,Flashlight End,Flashlight Delta,Whistle,Whistle Start,Whistle End,Whistle Delta,Take BP,Take BP Start,Take BP End,Take BP Delta,Location Sent,Vitals Sent,Distance Magnitude,Walking,App Usage Count,User,Anomaly
1,37402751,  37412497,9.746,1,37424317,  37439705,15.388,1,37438697,  37445353,6.656,0,0,0,0,0,0,0.0054495443263,0,0,    100101,Normal
1,37457685,  37464859,7.174,1,37470525,  37480264,9.739,1,37480290,  37485414,5.124,0,0,0,0,0,0,2.80496748264,0,0,    100101,Normal
1,37498778,  37506447,7.669,1,37507489, 37512226,4.737,1,37512228,  37517234,5.006,0,0,0,0,1,0,1.13209690744,0,1,    100101,Normal
1,37524954,  37534174,9.22,1,37535222,  37548058,12.836,1,37548567,  37552664,4.097,0,0,0,0,0,0,2.17433514803,0,0,    100101,Normal
1,37560900,  37569099,8.199,1,37569633,  37578340,8.707,1,37578863,  37584489,5.626,0,0,0,0,0,0,0.720798300623,0,0,    100101,Normal
1,37598880,  37610688,11.808,1,37611716,  37617865,6.149,1,37617874,  37621976,4.102,0,0,0,0,0,0,2.45992461573,0,0,    100101,Normal
1,37627637,  37634292,6.655,1,37636374,  37643541,7.167,1,37643560,  37648670,5.11,0,0,0,0,0,0,2.00394503246,0,0,    100101,Normal
1,37654334,  37662019,7.685,1,37662553,  37670240,7.687,1,37669229,  37673314,4.085,0,0,0,0,0,0,2.12527506738,0,0,    100101,Normal
1,37682570, 37689686,7.116,1,37689688,  37696423,6.735,1,37695410,  37699506,4.096,0,0,0,0,1,0,1.90002536511,0,1,    100101,Normal
1,37705679,  37711312,5.633,1,37712353,  37719012,6.659,1,37717996,  37723130,5.134,0,0,0,0,0,0,2.77439509913,0,0,    100101,Normal
1,37738532,  37747760,9.228,1,37756515,  37759568,3.053,1,37770257,  37777547,7.29,0,0,0,0,1,0,2.62227050235,0,1,    100101,Normal
1,37789369,  37798601,9.232,1,37799014,  37803213,4.199,1,37804260,  37809895,5.635,0,0,0,0,1,0,0.612206421193,0,1,    100101,Normal
1,37814522,  37820664,6.142,1,37820984,  37827349,6.365,1,37827361,  37831452,4.091,0,0,0,0,1,0,2.63838479477,0,1,    100101,Normal
1,37842247,  37848388,6.141,1,37850253,  37854563,4.31,1,37856123,  37859693,3.57,0,0,0,0,1,0,0.242910305879,0,1,    100101,Normal
1,37873582,  37884340,10.758,1,37884728,  37889477,4.749,1,37889483,  37892570,3.087,0,0,0,0,1,0,2.32670442114,0,1,    100101,Normal
1,37898722,  37907438,8.716,1,37908001,  37913600,5.599,0,0,0,0,0,0,0,0,1,0,1.20691069188,0,1,    100101,Normal
1,37932093,  37940293,8.2,1,37940635,  37945439,4.804,0,0,0,0,0,0,0,0,1,0,2.98488986583,0,1,    100101,Normal
1,37958289,  37966512,8.223,1,37968315,  37970592,2.277,0,0,0,0,0,0,0,0,1,0,1.95388451728,0,1,    100101,Normal
1,37983443,  37989581,6.138,1,37990631,  37999346,8.715,1,38002435,  38007553,5.118,0,0,0,0,0,0,1.99958484753,0,0,    100101,Normal
1,39134673,  39140425,5.752,1,39147348,  39151425,4.077,1,39151428,  39157190,5.762,0,0,0,0,0,0,1.54046007441,0,0,    100101,Normal
1,39164523,  39169753,5.23,1,39172184,  39175520,3.336,1,39174484,  39178649,4.165,0,0,0,0,1,0,1.3631334539,0,1,    100101,Normal
1,39185478,  39189644,4.166,1,39191779,  39196446,4.667,1,39196470,  39204879,8.409,0,0,0,0,0,0,0.0898100316657,0,0,    100101,Normal
1,39213757,  39218446,4.689,1,39221604,  39226336,4.732,1,39227377,  39232592,5.215,0,0,0,0,0,0,2.56544748258,0,0,    100101,Normal
1,39241524,  39246750,5.226,1,39248327,  39254594,6.267,1,39254597,  39260352,5.755,0,0,0,0,0,0,0.710062389205,0,0,    100101,Normal
1,39265608,  39273449,7.841,1,39276636,  39281303,4.667,1,39282362,  39285487,3.125,0,0,0,0,0,0,1.83942089271,0,0,    100101,Normal
1,39291837,  39300678,8.841,1,39302265,  39310637,8.372,1,39311175,  39316896,5.721,0,0,0,0,0,0,1.11521898741,0,0,    100101,Normal
1,39320583,  39325293,4.71,1,39326727,  39333679,6.952,1,39332645,  39335757,3.112,0,0,0,0,1,0,1.3840598986,0,1,    100101,Normal
1,39347310,  39353579,6.269,1,39355554,  39361953,6.399,1,39363005,  39369282,6.277,0,0,0,0,1,0,2.31824957046,0,1,    100101,Normal
1,39377149,  39382376,5.227,1,39387114,  39396518,9.404,1,39400214,  39403849,3.635,0,0,0,0,0,0,0.0831242753201,0,0,    100101,Normal
1,39410688,  39416946,6.258,1,39420622,  39429571,8.949,1,39428483,  39432700,4.217,0,0,0,0,0,0,1.59682908329,0,0,    100101,Normal
1,39496046,  39502310,6.264,1,39505482,  39510757,5.275,1,39510759,  39514868,4.109,0,0,0,0,0,0,1.98598101385,0,0,    100101,Normal
1,39599749,  39604425,4.676,0,0,0,0,0,0,0,0,1,39687369,  39690329,2.96,0,1,0.781634343362,0,1,    100101,Normal
1,37404264,  37411922,7.658,1,37410903,  37429337,18.434,1,37437536,  37445206,7.67,0,0,0,0,0,0,0.684582459407,0,0,    100102,Normal
1,37458523,  37465680,7.157,1,37468772,  37478489,9.717,1,37479519,  37484630,5.111,0,0,0,0,0,0,1.86303247987,0,0,    100102,Normal
1,37498485,  37506638,8.153,1,37506150,  37511263,5.113,1,37513325,  37518951,5.626,0,0,0,0,0,0,0.968131390841,0,0,    100102,Normal
