Shoulder Radio,Shoulder Radio Start,Shoulder Radio End,Shoulder Radio Delta,Flashlight,Flashlight Start,Flashlight End,Flashlight Delta,Whistle,Whistle Start,Whistle End,Whistle Delta,Send Location,Distance Magnitude,Walking,App Usage Count,User,Anomaly
1,49955739,  49960397,4.658,1,49972670,  49980822,8.152,1,49987078,  49991810,4.732,1,50.13869,1,1,    999101,Normal
1,50019279,  50025569,6.29,1,50033624,  50040811,7.187,1,50049529,  50053589,4.06,1,47.6909,1,1,    999101,Normal
1,50071579,  50078864,7.285,1,50087061,  50092550,5.489,1,50097695,  50102016,4.321,1,42.30743,1,1,    999101,Normal
1,50118688,  50125868,7.18,1,50136863,  50143803,6.94,1,50151653,  50156818,5.165,1,53.0007,1,1,    999101,Normal
1,50203242,  50208362,5.12,1,50219644,  50226987,7.343,1,50229400,  50233470,4.07,1,42.01692,1,1,    999101,Normal
1,50246814,  50251398,4.584,1,50263721,  50269835,6.114,1,50272040,  50276596,4.556,1,41.39698,1,1,    999101,Normal
1,50292919,  50298548,5.629,1,50308825,  50313410,4.585,1,50315471,  50322128,6.657,1,40.60051,1,1,    999101,Normal
1,50348287,  50353377,5.09,1,50360571,  50365692,5.121,1,50367753,  50373886,6.133,1,35.58261,1,1,    999101,Normal
1,50405669,  50411264,5.595,1,50418489,  50424605,6.116,1,50429762,  50433843,4.081,1,39.16186,1,1,    999101,Normal
1,50445645,  50449724,4.079,1,50459483,  50464594,5.111,1,50468722,  50474834,6.112,1,40.57271,1,1,    999101,Normal
1,49954459,  49960723,6.264,1,49973299,  49981649,8.35,1,49986360,  49991560,5.2,1,51.57039,1,1,    999102,Normal
1,50018747,  50024507,5.76,1,50034450,  50040718,6.268,1,50049599,  50054810,5.211,1,50.12757,1,1,    999102,Normal
1,50071560,  50077838,6.278,1,50087258,  50093509,6.251,1,50097194,  50102398,5.204,1,42.86482,1,1,    999102,Normal
1,50119142,  50125387,6.245,1,50136409,  50145761,9.352,1,50150513,  50157279,6.766,1,53.01043,1,1,    999102,Normal
1,50201745,  50207487,5.742,1,50219530,  50226292,6.762,1,50228410,  50233612,5.202,1,44.29513,1,1,    999102,Normal
1,50246708,  50251908,5.2,1,50262370,  50269698,7.328,1,50271800,  50277547,5.747,1,42.86621,1,1,    999102,Normal
1,50292713,  50298452,5.739,1,50306824,  50312583,5.759,1,50315704,  50320405,4.701,1,38.49188,1,1,    999102,Normal
1,50347605,  50353334,5.729,1,50360693,  50364843,4.15,1,50366437,  50372799,6.362,1,35.01966,1,1,    999102,Normal
1,50405642,  50410376,4.734,1,50418714,  50423416,4.702,1,50429165,  50432269,3.104,1,37.01153,1,1,    999102,Normal
1,50444321,  50449538,5.217,1,50459503,  50464710,5.207,1,50468372,  50472556,4.184,1,39.24665,1,1,    999102,Normal
1,49955855,  49959508,3.653,1,49972664,  49980476,7.812,1,49987300,  49991483,4.183,1,49.52292,1,1,    999103,Normal
1,50051748,  50053840,2.092,1,50033934,  50040726,6.792,1,50052810,  50055418,2.608,1,29.86276,1,1,    999103,Normal
1,50071669,  50078466,6.797,1,50088968,  50094711,5.743,1,50098399,  50102564,4.165,1,42.94405,1,1,    999103,Normal
1,50119350,  50126669,7.319,1,50136648,  50144483,7.835,1,50151310,  50157600,6.29,1,53.1675,1,1,    999103,Normal
1,50202673,  50207903,5.23,1,50219441,  50226761,7.32,1,50229403,  50234632,5.229,1,44.42301,1,1,    999103,Normal
1,50246685,  50252444,5.759,1,50262406,  50270790,8.384,1,50271852,  50278642,6.79,1,44.42023,1,1,    999103,Normal
1,50293335,  50298585,5.25,1,50306434,  50313756,7.322,1,50315864,  50321613,5.749,1,39.30642,1,1,    999103,Normal
1,50348369,  50353056,4.687,1,50360941,  50365640,4.699,1,50367748,  50373492,5.744,1,34.92097,1,1,    999103,Normal
1,50405492,  50410714,5.222,1,50418582,  50424333,5.751,1,50426970,  50433764,6.794,1,39.29808,1,1,    999103,Normal
1,50444857,  50449481,4.624,1,50459457,  50464696,5.239,1,50467857,  50474626,6.769,1,41.37891,1,1,    999103,Normal
