Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
14:09:58-957,0.6057129,0.13647461,-0.8100586,0.5991211,0.15551758,-0.80566406,3541,76,999102, Participant, emt,None,87
14:09:58-965,0.6057129,0.1665039,-0.80200195,0.6057129,0.13647461,-0.8100586,3541,76,999102, Participant, emt,None,87
14:09:58-989,0.59472656,0.17578125,-0.79907227,0.6057129,0.1665039,-0.80200195,3541,76,999102, Participant, emt,None,87
14:09:58-995,0.59155273,0.18896484,-0.798584,0.59472656,0.17578125,-0.79907227,3541,76,999102, Participant, emt,None,87
14:09:59-19,0.5996094,0.20043945,-0.7963867,0.59155273,0.18896484,-0.798584,3541,76,999102, Participant, emt,None,87
14:09:59-27,0.60424805,0.20727539,-0.79467773,0.5996094,0.20043945,-0.7963867,3541,76,999102, Participant, emt,None,87
14:09:59-58,0.60424805,0.22436523,-0.779541,0.60424805,0.20727539,-0.79467773,3541,76,999102, Participant, emt,None,87
14:09:59-63,0.5908203,0.24658203,-0.7619629,0.60424805,0.22436523,-0.779541,3541,76,999102, Participant, emt,None,87
14:09:59-89,0.5883789,0.25390625,-0.75683594,0.5908203,0.24658203,-0.7619629,3541,76,999102, Participant, emt,None,87
14:09:59-95,0.5908203,0.27685547,-0.7619629,0.5883789,0.25390625,-0.75683594,3541,76,999102, Participant, emt,None,87
14:09:59-126,0.59106445,0.30419922,-0.7661133,0.5908203,0.27685547,-0.7619629,3541,76,999102, Participant, emt,None,87
14:09:59-136,0.58813477,0.3178711,-0.7709961,0.59106445,0.30419922,-0.7661133,3541,76,999102, Participant, emt,None,87
14:09:59-141,0.58813477,0.32080078,-0.76123047,0.58813477,0.3178711,-0.7709961,3541,76,999102, Participant, emt,None,87
14:09:59-169,0.57714844,0.31518555,-0.732666,0.58813477,0.32080078,-0.76123047,3541,76,999102, Participant, emt,None,87
14:09:59-174,0.57470703,0.31689453,-0.71899414,0.57714844,0.31518555,-0.732666,3541,76,999102, Participant, emt,None,87
14:09:59-201,0.57055664,0.3256836,-0.7150879,0.57470703,0.31689453,-0.71899414,3541,76,999102, Participant, emt,None,87
14:09:59-208,0.56811523,0.3569336,-0.7211914,0.57055664,0.3256836,-0.7150879,3541,76,999102, Participant, emt,None,87
14:09:59-237,0.5727539,0.37451172,-0.72558594,0.56811523,0.3569336,-0.7211914,3541,76,999102, Participant, emt,None,87
14:09:59-251,0.57788086,0.38671875,-0.72143555,0.5727539,0.37451172,-0.72558594,3541,76,999102, Participant, emt,None,87
14:09:59-273,0.5734863,0.38012695,-0.7011719,0.57788086,0.38671875,-0.72143555,3541,76,999102, Participant, emt,None,87
14:09:59-287,0.578125,0.37695313,-0.69189453,0.5734863,0.38012695,-0.7011719,3541,76,999102, Participant, emt,None,87
14:09:59-307,0.5834961,0.36621094,-0.6845703,0.578125,0.37695313,-0.69189453,3541,76,999102, Participant, emt,None,87
14:09:59-314,0.59106445,0.36914063,-0.6994629,0.5834961,0.36621094,-0.6845703,3541,76,999102, Participant, emt,None,87
14:09:59-320,0.60131836,0.36132813,-0.717041,0.59106445,0.36914063,-0.6994629,3541,76,999102, Participant, emt,None,87
14:09:59-360,0.6062012,0.35253906,-0.7277832,0.60131836,0.36132813,-0.717041,3541,76,999102, Participant, emt,None,87
14:09:59-371,0.59643555,0.32788086,-0.72387695,0.6062012,0.35253906,-0.7277832,3541,76,999102, Participant, emt,None,87
14:09:59-388,0.59375,0.31640625,-0.71606445,0.59643555,0.32788086,-0.72387695,3541,76,999102, Participant, emt,None,87
14:09:59-393,0.5942383,0.3059082,-0.704834,0.59375,0.31640625,-0.71606445,3541,76,999102, Participant, emt,None,87
14:09:59-445,0.60546875,0.32006836,-0.70214844,0.5942383,0.3059082,-0.704834,3541,76,999102, Participant, emt,None,87
14:09:59-450,0.6101074,0.3310547,-0.7092285,0.60546875,0.32006836,-0.70214844,3541,76,999102, Participant, emt,None,87
14:09:59-457,0.61816406,0.34887695,-0.7199707,0.6101074,0.3310547,-0.7092285,3541,76,999102, Participant, emt,None,87
14:09:59-463,0.6113281,0.33032227,-0.70336914,0.61816406,0.34887695,-0.7199707,3541,76,999102, Participant, emt,None,87
14:09:59-467,0.60180664,0.32202148,-0.6843262,0.61816406,0.34887695,-0.7199707,3541,76,999102, Participant, emt,None,87
14:09:59-482,0.5974121,0.32861328,-0.6772461,0.60180664,0.32202148,-0.6843262,3541,76,999102, Participant, emt,None,87
14:09:59-514,0.6140137,0.32666016,-0.703125,0.5974121,0.32861328,-0.6772461,3541,76,999102, Participant, emt,None,87
14:09:59-520,0.61157227,0.3232422,-0.7219238,0.5974121,0.32861328,-0.6772461,3541,76,999102, Participant, emt,None,87
14:09:59-549,0.61206055,0.33203125,-0.7426758,0.61157227,0.3232422,-0.7219238,3541,76,999102, Participant, emt,None,87
14:09:59-556,0.5974121,0.3491211,-0.7404785,0.61206055,0.33203125,-0.7426758,3541,76,999102, Participant, emt,None,87
14:09:59-560,0.5834961,0.35058594,-0.71899414,0.61206055,0.33203125,-0.7426758,3541,76,999102, Participant, emt,None,87
14:09:59-584,0.5620117,0.3630371,-0.6977539,0.5834961,0.35058594,-0.71899414,3541,76,999102, Participant, emt,None,87
14:09:59-623,0.5695801,0.37402344,-0.6960449,0.5620117,0.3630371,-0.6977539,3541,76,999102, Participant, emt,None,87
14:09:59-628,0.57299805,0.3786621,-0.7062988,0.5620117,0.3630371,-0.6977539,3541,76,999102, Participant, emt,None,87
14:09:59-659,0.58618164,0.40820313,-0.7180176,0.57299805,0.3786621,-0.7062988,3541,76,999102, Participant, emt,None,87
14:09:59-667,0.60791016,0.43920898,-0.7211914,0.58618164,0.40820313,-0.7180176,3541,76,999102, Participant, emt,None,87
14:09:59-672,0.61206055,0.45092773,-0.7236328,0.58618164,0.40820313,-0.7180176,3541,76,999102, Participant, emt,None,87
14:09:59-686,0.6188965,0.4477539,-0.7133789,0.61206055,0.45092773,-0.7236328,3541,76,999102, Participant, emt,None,87
14:09:59-723,0.6191406,0.46899414,-0.68969727,0.6188965,0.4477539,-0.7133789,3541,76,999102, Participant, emt,None,87
14:09:59-729,0.6125488,0.4638672,-0.6791992,0.6188965,0.4477539,-0.7133789,3541,76,999102, Participant, emt,None,87
14:09:59-744,0.5974121,0.44628906,-0.64453125,0.6125488,0.4638672,-0.6791992,3541,76,999102, Participant, emt,None,87
14:09:59-770,0.6179199,0.44311523,-0.60595703,0.5974121,0.44628906,-0.64453125,3541,76,999102, Participant, emt,None,87
14:09:59-780,0.63500977,0.45336914,-0.6015625,0.5974121,0.44628906,-0.64453125,3541,76,999102, Participant, emt,None,87
14:09:59-791,0.64208984,0.4663086,-0.5986328,0.63500977,0.45336914,-0.6015625,3541,76,999102, Participant, emt,None,87
14:09:59-808,0.63671875,0.49902344,-0.6010742,0.64208984,0.4663086,-0.5986328,3541,76,999102, Participant, emt,None,87
14:09:59-814,0.61816406,0.49902344,-0.59277344,0.64208984,0.4663086,-0.5986328,3541,76,999102, Participant, emt,None,87
14:09:59-840,0.58691406,0.513916,-0.55908203,0.61816406,0.49902344,-0.59277344,3541,76,999102, Participant, emt,None,87
14:09:59-849,0.564209,0.5046387,-0.5205078,0.58691406,0.513916,-0.55908203,3541,76,999102, Participant, emt,None,87
14:09:59-871,0.5644531,0.5319824,-0.51220703,0.564209,0.5046387,-0.5205078,3541,76,999102, Participant, emt,None,87
14:09:59-875,0.5834961,0.54833984,-0.50878906,0.5644531,0.5319824,-0.51220703,3541,76,999102, Participant, emt,None,87
14:09:59-902,0.6130371,0.5834961,-0.5209961,0.5834961,0.54833984,-0.50878906,3541,76,999102, Participant, emt,None,87
14:09:59-909,0.61865234,0.5854492,-0.5305176,0.6130371,0.5834961,-0.5209961,3541,76,999102, Participant, emt,None,87
14:09:59-937,0.6359863,0.59814453,-0.53808594,0.61865234,0.5854492,-0.5305176,3541,76,999102, Participant, emt,None,87
14:09:59-944,0.6599121,0.60180664,-0.5263672,0.6359863,0.59814453,-0.53808594,3541,76,999102, Participant, emt,None,87
14:09:59-948,0.6660156,0.58862305,-0.5131836,0.6599121,0.60180664,-0.5263672,3541,76,999102, Participant, emt,None,87
14:09:59-971,0.6923828,0.6130371,-0.5,0.6660156,0.58862305,-0.5131836,3541,76,999102, Participant, emt,None,87
14:10:00-6,0.73095703,0.6501465,-0.5024414,0.6923828,0.6130371,-0.5,3541,76,999102, Participant, emt,None,87
14:10:00-13,0.7258301,0.64575195,-0.49316406,0.73095703,0.6501465,-0.5024414,3541,76,999102, Participant, emt,None,87
14:10:00-43,0.6713867,0.6386719,-0.45629883,0.7258301,0.64575195,-0.49316406,3541,76,999102, Participant, emt,None,87
14:10:00-53,0.65356445,0.56811523,-0.42504883,0.6713867,0.6386719,-0.45629883,3541,76,999102, Participant, emt,None,87
14:10:00-61,0.6489258,0.5349121,-0.42236328,0.65356445,0.56811523,-0.42504883,3541,76,999102, Participant, emt,None,87
14:10:00-75,0.63500977,0.51123047,-0.43359375,0.6489258,0.5349121,-0.42236328,3541,76,999102, Participant, emt,None,87
14:10:00-109,0.6430664,0.5085449,-0.46777344,0.63500977,0.51123047,-0.43359375,3541,76,999102, Participant, emt,None,87
14:10:00-115,0.64086914,0.50634766,-0.4819336,0.6430664,0.5085449,-0.46777344,3541,76,999102, Participant, emt,None,87
14:10:00-124,0.6359863,0.5085449,-0.5070801,0.64086914,0.50634766,-0.4819336,3541,76,999102, Participant, emt,None,87
14:10:00-138,0.6386719,0.53759766,-0.5126953,0.6359863,0.5085449,-0.5070801,3541,76,999102, Participant, emt,None,87
14:10:00-153,0.64160156,0.55688477,-0.5263672,0.6386719,0.53759766,-0.5126953,3541,76,999102, Participant, emt,None,87
14:10:00-182,0.64453125,0.5661621,-0.5620117,0.64160156,0.55688477,-0.5263672,3541,76,999102, Participant, emt,None,87
14:10:00-185,0.640625,0.5690918,-0.59765625,0.64453125,0.5661621,-0.5620117,3541,76,999102, Participant, emt,None,87
14:10:00-217,0.62939453,0.56469727,-0.60717773,0.640625,0.5690918,-0.59765625,3541,76,999102, Participant, emt,None,87
14:10:00-220,0.63427734,0.5270996,-0.5925293,0.62939453,0.56469727,-0.60717773,3541,76,999102, Participant, emt,None,87
14:10:00-252,0.6472168,0.50927734,-0.53100586,0.63427734,0.5270996,-0.5925293,3541,76,999102, Participant, emt,None,87
14:10:00-258,0.64697266,0.5419922,-0.51000977,0.6472168,0.50927734,-0.53100586,3541,76,999102, Participant, emt,None,87
14:10:00-265,0.64404297,0.62890625,-0.51293945,0.64697266,0.5419922,-0.51000977,3541,76,999102, Participant, emt,None,87
14:10:00-297,0.63793945,0.5969238,-0.5251465,0.64404297,0.62890625,-0.51293945,3541,76,999102, Participant, emt,None,87
14:10:00-303,0.62109375,0.5720215,-0.5251465,0.63793945,0.5969238,-0.5251465,3541,76,999102, Participant, emt,None,87
14:10:00-329,0.5913086,0.5029297,-0.52978516,0.62109375,0.5720215,-0.5251465,3541,76,999102, Participant, emt,None,87
14:10:00-338,0.57055664,0.4790039,-0.52856445,0.5913086,0.5029297,-0.52978516,3541,76,999102, Participant, emt,None,87
14:10:00-363,0.5449219,0.5073242,-0.5288086,0.57055664,0.4790039,-0.52856445,3541,76,999102, Participant, emt,None,87
14:10:00-368,0.53759766,0.5554199,-0.579834,0.5449219,0.5073242,-0.5288086,3541,76,999102, Participant, emt,None,87
14:10:00-398,0.57177734,0.53100586,-0.62280273,0.53759766,0.5554199,-0.579834,3541,76,999102, Participant, emt,None,87
14:10:00-401,0.56811523,0.5390625,-0.6254883,0.57177734,0.53100586,-0.62280273,3541,76,999102, Participant, emt,None,87
14:10:00-430,0.5644531,0.5280762,-0.6040039,0.56811523,0.5390625,-0.6254883,3541,76,999102, Participant, emt,None,87
14:10:00-435,0.58203125,0.52124023,-0.5656738,0.5644531,0.5280762,-0.6040039,3541,76,999102, Participant, emt,None,87
14:10:00-465,0.57714844,0.5163574,-0.55078125,0.58203125,0.52124023,-0.5656738,3541,76,999102, Participant, emt,None,87
14:10:00-469,0.5888672,0.5151367,-0.5371094,0.57714844,0.5163574,-0.55078125,3541,76,999102, Participant, emt,None,87
14:10:00-500,0.5715332,0.515625,-0.52563477,0.5888672,0.5151367,-0.5371094,3541,76,999102, Participant, emt,None,87
14:10:00-505,0.56933594,0.5136719,-0.52368164,0.5888672,0.5151367,-0.5371094,3541,76,999102, Participant, emt,None,87
14:10:00-541,0.58984375,0.5114746,-0.5366211,0.56933594,0.5136719,-0.52368164,3541,76,999102, Participant, emt,None,87
14:10:00-550,0.6135254,0.52368164,-0.58447266,0.58984375,0.5114746,-0.5366211,3541,76,999102, Participant, emt,None,87
14:10:00-555,0.60961914,0.50927734,-0.60253906,0.58984375,0.5114746,-0.5366211,3541,76,999102, Participant, emt,None,87
14:10:00-583,0.62353516,0.5046387,-0.5776367,0.60961914,0.50927734,-0.60253906,3541,76,999102, Participant, emt,None,87
14:10:00-592,0.640625,0.50024414,-0.5209961,0.62353516,0.5046387,-0.5776367,3541,76,999102, Participant, emt,None,87
14:10:00-595,0.6750488,0.50097656,-0.52685547,0.62353516,0.5046387,-0.5776367,3541,76,999102, Participant, emt,None,87
14:10:00-616,0.8659668,0.51904297,-0.59228516,0.6750488,0.50097656,-0.52685547,3541,76,999102, Participant, emt,None,87
14:10:00-653,0.9025879,0.57592773,-0.5830078,0.8659668,0.51904297,-0.59228516,3541,76,999102, Participant, emt,None,87
14:10:00-659,0.88012695,0.58325195,-0.5600586,0.8659668,0.51904297,-0.59228516,3541,76,999102, Participant, emt,None,87
14:10:00-688,0.8190918,0.5349121,-0.5148926,0.88012695,0.58325195,-0.5600586,3541,76,999102, Participant, emt,None,87
14:10:00-692,0.7573242,0.4189453,-0.4506836,0.8190918,0.5349121,-0.5148926,3541,76,999102, Participant, emt,None,87
14:10:00-701,0.7409668,0.38793945,-0.42163086,0.8190918,0.5349121,-0.5148926,3541,76,999102, Participant, emt,None,87
14:10:00-708,0.7038574,0.3803711,-0.4519043,0.7409668,0.38793945,-0.42163086,3541,76,999102, Participant, emt,None,87
14:10:00-727,0.6694336,0.39257813,-0.54467773,0.7038574,0.3803711,-0.4519043,3541,76,999102, Participant, emt,None,87
14:10:00-731,0.6621094,0.40649414,-0.5883789,0.7038574,0.3803711,-0.4519043,3541,76,999102, Participant, emt,None,87
14:10:00-761,0.65893555,0.44433594,-0.7258301,0.6621094,0.40649414,-0.5883789,3541,76,999102, Participant, emt,None,87
14:10:00-797,0.64990234,0.45825195,-0.7363281,0.65893555,0.44433594,-0.7258301,3541,76,999102, Participant, emt,None,87
14:10:00-801,0.6035156,0.4633789,-0.63720703,0.65893555,0.44433594,-0.7258301,3541,76,999102, Participant, emt,None,87
14:10:00-812,0.579834,0.41503906,-0.5004883,0.6035156,0.4633789,-0.63720703,3541,76,999102, Participant, emt,None,87
14:10:00-828,0.6345215,0.37426758,-0.45361328,0.579834,0.41503906,-0.5004883,3541,76,999102, Participant, emt,None,87
