Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
11:15:38-27,-0.30395508,0.6928711,0.26367188,-0.27001953,0.6374512,0.28588867,22405,71,100108, Participant, EMT, None,62
11:15:38-35,-0.31079102,0.70458984,0.23828125,-0.30395508,0.6928711,0.26367188,22405,71,100108, Participant, EMT, None,62
11:15:38-66,-0.32958984,0.6948242,0.23242188,-0.31079102,0.70458984,0.23828125,22405,71,100108, Participant, EMT, None,62
11:15:38-77,-0.35766602,0.7294922,0.20019531,-0.32958984,0.6948242,0.23242188,22405,71,100108, Participant, EMT, None,62
11:15:38-94,-0.37475586,0.7175293,0.17260742,-0.35766602,0.7294922,0.20019531,22405,71,100108, Participant, EMT, None,62
11:15:38-99,-0.390625,0.7290039,0.18676758,-0.37475586,0.7175293,0.17260742,22405,71,100108, Participant, EMT, None,62
11:15:38-127,-0.42358398,0.78637695,0.15625,-0.390625,0.7290039,0.18676758,22405,71,100108, Participant, EMT, None,62
11:15:38-130,-0.43164063,0.7609863,0.15893555,-0.42358398,0.78637695,0.15625,22405,71,100108, Participant, EMT, None,62
11:15:38-161,-0.45458984,0.8093262,0.14208984,-0.43164063,0.7609863,0.15893555,22405,71,100108, Participant, EMT, None,62
11:15:38-164,-0.49658203,0.8286133,0.18066406,-0.45458984,0.8093262,0.14208984,22405,71,100108, Participant, EMT, None,62
11:15:38-171,-0.5070801,0.8449707,0.19042969,-0.49658203,0.8286133,0.18066406,22405,71,100108, Participant, EMT, None,62
11:15:38-196,-0.49267578,0.87890625,0.18676758,-0.5070801,0.8449707,0.19042969,22405,71,100108, Participant, EMT, None,62
11:15:38-213,-0.46313477,0.91918945,0.18237305,-0.49267578,0.87890625,0.18676758,22405,71,100108, Participant, EMT, None,62
11:15:38-235,-0.47998047,0.9255371,0.1743164,-0.46313477,0.91918945,0.18237305,22405,71,100108, Participant, EMT, None,62
11:15:38-239,-0.5046387,0.9255371,0.17382813,-0.47998047,0.9255371,0.1743164,22405,71,100108, Participant, EMT, None,62
11:15:38-270,-0.51171875,0.9338379,0.15209961,-0.5046387,0.9255371,0.17382813,22405,71,100108, Participant, EMT, None,62
11:15:38-275,-0.61450195,0.98657227,0.20166016,-0.51171875,0.9338379,0.15209961,22405,71,100108, Participant, EMT, None,62
11:15:38-281,-0.6677246,1.0083008,0.21923828,-0.51171875,0.9338379,0.15209961,22405,71,100108, Participant, EMT, None,62
11:15:38-306,-0.7026367,1.1083984,0.25146484,-0.6677246,1.0083008,0.21923828,22405,71,100108, Participant, EMT, None,62
11:15:38-380,-0.6503906,1.175293,0.27807617,-0.7026367,1.1083984,0.25146484,22405,71,100108, Participant, EMT, None,62
11:15:38-387,-0.60546875,1.2092285,0.28735352,-0.7026367,1.1083984,0.25146484,22405,71,100108, Participant, EMT, None,62
11:15:38-403,-0.5126953,1.2111816,0.27905273,-0.60546875,1.2092285,0.28735352,22405,71,100108, Participant, EMT, None,62
11:15:38-448,-0.44677734,1.1218262,0.20874023,-0.5126953,1.2111816,0.27905273,22405,71,100108, Participant, EMT, None,62
11:15:38-458,-0.42114258,1.0852051,0.17041016,-0.5126953,1.2111816,0.27905273,22405,71,100108, Participant, EMT, None,62
11:15:38-506,-0.44506836,0.970459,0.08154297,-0.42114258,1.0852051,0.17041016,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-515,-0.52001953,0.9099121,0.043701172,-0.44506836,0.970459,0.08154297,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-520,-0.5480957,0.89746094,0.036621094,-0.44506836,0.970459,0.08154297,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-526,-0.6022949,0.8823242,0.037353516,-0.5480957,0.89746094,0.036621094,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-532,-0.60180664,0.8852539,0.005126953,-0.6022949,0.8823242,0.037353516,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-538,-0.6062012,0.8886719,-0.001464844,-0.60180664,0.8852539,0.005126953,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-541,-0.61694336,0.90893555,-0.003417969,-0.6062012,0.8886719,-0.001464844,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-543,-0.61279297,0.8886719,0.024414063,-0.61694336,0.90893555,-0.003417969,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-548,-0.6047363,0.86035156,0.020019531,-0.61279297,0.8886719,0.024414063,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-558,-0.5649414,0.8269043,-0.003662109,-0.6047363,0.86035156,0.020019531,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-560,-0.54052734,0.78881836,-0.044189453,-0.5649414,0.8269043,-0.003662109,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-585,-0.54125977,0.7524414,-0.06713867,-0.54052734,0.78881836,-0.044189453,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-588,-0.56396484,0.7155762,-0.10546875,-0.54125977,0.7524414,-0.06713867,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-621,-0.5756836,0.63671875,-0.16992188,-0.56396484,0.7155762,-0.10546875,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-627,-0.5715332,0.59106445,-0.20019531,-0.5756836,0.63671875,-0.16992188,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-664,-0.57714844,0.54833984,-0.2368164,-0.5715332,0.59106445,-0.20019531,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-671,-0.5546875,0.5012207,-0.26611328,-0.57714844,0.54833984,-0.2368164,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-692,-0.55908203,0.47973633,-0.27563477,-0.5546875,0.5012207,-0.26611328,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-701,-0.5734863,0.4794922,-0.2998047,-0.55908203,0.47973633,-0.27563477,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-709,-0.5593262,0.4416504,-0.3540039,-0.5734863,0.4794922,-0.2998047,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-715,-0.56225586,0.39282227,-0.37060547,-0.5734863,0.4794922,-0.2998047,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-758,-0.52978516,0.37719727,-0.40234375,-0.56225586,0.39282227,-0.37060547,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-761,-0.5007324,0.4260254,-0.42919922,-0.52978516,0.37719727,-0.40234375,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-767,-0.5102539,0.43823242,-0.44213867,-0.52978516,0.37719727,-0.40234375,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-791,-0.5136719,0.39868164,-0.47729492,-0.5102539,0.43823242,-0.44213867,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-807,-0.5073242,0.42358398,-0.49951172,-0.5136719,0.39868164,-0.47729492,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-811,-0.4951172,0.4489746,-0.5126953,-0.5136719,0.39868164,-0.47729492,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-838,-0.53027344,0.49145508,-0.50927734,-0.4951172,0.4489746,-0.5126953,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-871,-0.5644531,0.5163574,-0.51342773,-0.53027344,0.49145508,-0.50927734,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-877,-0.59106445,0.52685547,-0.51904297,-0.53027344,0.49145508,-0.50927734,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-883,-0.623291,0.56933594,-0.5024414,-0.59106445,0.52685547,-0.51904297,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-906,-0.6748047,0.578125,-0.49243164,-0.623291,0.56933594,-0.5024414,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-913,-0.6826172,0.5698242,-0.4970703,-0.6748047,0.578125,-0.49243164,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-939,-0.6940918,0.5732422,-0.47998047,-0.6826172,0.5698242,-0.4970703,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-942,-0.7504883,0.53637695,-0.62158203,-0.6940918,0.5732422,-0.47998047,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-971,-0.72021484,0.44995117,-0.73168945,-0.7504883,0.53637695,-0.62158203,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-977,-0.7150879,0.5522461,-0.8449707,-0.72021484,0.44995117,-0.73168945,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:38-983,-0.6682129,0.6894531,-0.7077637,-0.7150879,0.5522461,-0.8449707,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-8,-0.7277832,0.7883301,-0.5595703,-0.6682129,0.6894531,-0.7077637,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-16,-0.74365234,0.86938477,-0.3408203,-0.7277832,0.7883301,-0.5595703,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-62,-0.6743164,0.8574219,-0.27001953,-0.74365234,0.86938477,-0.3408203,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-68,-0.62524414,0.8383789,-0.26513672,-0.6743164,0.8574219,-0.27001953,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-94,-0.5864258,0.7319336,-0.30151367,-0.62524414,0.8383789,-0.26513672,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-101,-0.55688477,0.57055664,-0.37036133,-0.5864258,0.7319336,-0.30151367,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-106,-0.57958984,0.5324707,-0.38916016,-0.55688477,0.57055664,-0.37036133,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-128,-0.6230469,0.51831055,-0.36669922,-0.57958984,0.5324707,-0.38916016,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-136,-0.65625,0.5866699,-0.32641602,-0.6230469,0.51831055,-0.36669922,22405,71,100108, Participant, EMT,Shoulder Radio,62
11:15:39-165,-0.67407227,0.61865234,-0.3088379,-0.65625,0.5866699,-0.32641602,22405,71,100108, Participant, EMT,Shoulder Radio,62
