Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
1503069322960, 0.94384766, 0.3786621, -0.31958008, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069322966, 0.9172363, 0.35327148, -0.31762695, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069322970, 0.8808594, 0.27246094, -0.26367188, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069322974, 0.85546875, 0.22338867, -0.17553711, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069322992, 0.8376465, 0.18041992, -0.109375, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069322999, 0.78637695, 0.12768555, -0.0234375, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323007, 0.8051758, 0.2541504, -0.080322266, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323013, 0.81152344, 0.3190918, -0.12817383, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323019, 0.8601074, 0.35302734, -0.18286133, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323025, 0.8796387, 0.3659668, -0.18408203, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323028, 0.8894043, 0.40454102, -0.21411133, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323040, 0.91845703, 0.46606445, -0.26049805, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323046, 0.9277344, 0.45092773, -0.26367188, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323052, 0.9177246, 0.37670898, -0.24609375, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323055, 0.91845703, 0.36328125, -0.18579102, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323058, 0.9213867, 0.26782227, -0.21826172, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323068, 0.939209, 0.3010254, -0.24731445, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323080, 0.9265137, 0.3798828, -0.19555664, 0.0, 0.0, 0.0, 0, 0, 100107, Participant, EMT, None, 67
1503069323176, 0.9182129, 0.7067871, -0.31152344, 0.9182129, 0.7067871, -0.31152344, 0, 0, 100107, Participant, EMT, None, 67
1503069323183, 0.8942871, 0.68408203, -0.23535156, 0.87890625, 0.65478516, -0.20532227, 0, 0, 100107, Participant, EMT, None, 67
1503069323189, 0.87890625, 0.65478516, -0.20532227, 0.87890625, 0.65478516, -0.20532227, 0, 0, 100107, Participant, EMT, None, 67
